Iteration_number,ParticleID,Link_Velocity,Joint_Velocity,Current_Link_Index,Current_Joint_Index,Current_Joints_Types,Current_Joints_Axis,Current_Links_Lengths,Current_Fitness,pbest_Link_Index,pbest_Joint_Index,pbest_Joints_Types,pbest_Joints_Axis,pbest_Links_Lengths,pbest_Fitness
Initialization,0,0,0,274,2854,"['roll', 'pitch', 'pitch', 'pitch', 'pitch', 'roll']","['z', 'y', 'x', 'y', 'x', 'x']","['0.1', '0.3', '0.7', '0.1', '0.1', '0.7']",0,274,2854,"['roll', 'pitch', 'pitch', 'pitch', 'pitch', 'roll']","['z', 'y', 'x', 'y', 'x', 'x']","['0.1', '0.3', '0.7', '0.1', '0.1', '0.7']",0
Initialization,1,0,0,285,1705,"['roll', 'roll', 'pris', 'pris', 'pris', 'pitch']","['z', 'y', 'z', 'y', 'x', 'x']","['0.1', '0.3', '0.7', '0.3', '0.3', '0.3']",0,285,1705,"['roll', 'roll', 'pris', 'pris', 'pris', 'pitch']","['z', 'y', 'z', 'y', 'x', 'x']","['0.1', '0.3', '0.7', '0.3', '0.3', '0.3']",0
0,0,0,0,274,2854,"['roll', 'pitch', 'pitch', 'pitch', 'pitch', 'roll']","['z', 'y', 'x', 'y', 'x', 'x']","['0.1', '0.3', '0.7', '0.1', '0.1', '0.7']",0,274,2854,"['roll', 'pitch', 'pitch', 'pitch', 'pitch', 'roll']","['z', 'y', 'x', 'y', 'x', 'x']","['0.1', '0.3', '0.7', '0.1', '0.1', '0.7']",0
0,1,-7,0,278,1705,"['roll', 'roll', 'pris', 'pris', 'pris', 'pitch']","['z', 'y', 'z', 'y', 'x', 'x']","['0.1', '0.3', '0.7', '0.1', '0.5', '0.1']",0,285,1705,"['roll', 'roll', 'pris', 'pris', 'pris', 'pitch']","['z', 'y', 'z', 'y', 'x', 'x']","['0.1', '0.3', '0.7', '0.3', '0.3', '0.3']",0
1,0,0,0,274,2854,"['roll', 'pitch', 'pitch', 'pitch', 'pitch', 'roll']","['z', 'y', 'x', 'y', 'x', 'x']","['0.1', '0.3', '0.7', '0.1', '0.1', '0.7']",0,274,2854,"['roll', 'pitch', 'pitch', 'pitch', 'pitch', 'roll']","['z', 'y', 'x', 'y', 'x', 'x']","['0.1', '0.3', '0.7', '0.1', '0.1', '0.7']",0
1,1,2,0,280,1705,"['roll', 'roll', 'pris', 'pris', 'pris', 'pitch']","['z', 'y', 'z', 'y', 'x', 'x']","['0.1', '0.3', '0.7', '0.1', '0.7', '0.1']",0,285,1705,"['roll', 'roll', 'pris', 'pris', 'pris', 'pitch']","['z', 'y', 'z', 'y', 'x', 'x']","['0.1', '0.3', '0.7', '0.3', '0.3', '0.3']",0
Initialization,0,0,0,188,1433,"['roll', 'pitch', 'pris', 'pitch', 'pitch', 'roll']","['z', 'y', 'x', 'x', 'z', 'y']","['0.1', '0.3', '0.1', '0.5', '0.7', '0.1']",0,188,1433,"['roll', 'pitch', 'pris', 'pitch', 'pitch', 'roll']","['z', 'y', 'x', 'x', 'z', 'y']","['0.1', '0.3', '0.1', '0.5', '0.7', '0.1']",0
Initialization,1,0,0,233,3672,"['roll', 'pris', 'pitch', 'pitch', 'pris', 'pitch']","['z', 'y', 'z', 'x', 'y', 'z']","['0.1', '0.3', '0.3', '0.5', '0.7', '0.1']",0,233,3672,"['roll', 'pris', 'pitch', 'pitch', 'pris', 'pitch']","['z', 'y', 'z', 'x', 'y', 'z']","['0.1', '0.3', '0.3', '0.5', '0.7', '0.1']",0
0,0,0,0,188,1433,"['roll', 'pitch', 'pris', 'pitch', 'pitch', 'roll']","['z', 'y', 'x', 'x', 'z', 'y']","['0.1', '0.3', '0.1', '0.5', '0.7', '0.1']",0,188,1433,"['roll', 'pitch', 'pris', 'pitch', 'pitch', 'roll']","['z', 'y', 'x', 'x', 'z', 'y']","['0.1', '0.3', '0.1', '0.5', '0.7', '0.1']",0
0,1,-48,0,185,3672,"['roll', 'pris', 'pitch', 'pitch', 'pris', 'pitch']","['z', 'y', 'z', 'x', 'y', 'z']","['0.1', '0.3', '0.1', '0.5', '0.5', '0.1']",0,233,3672,"['roll', 'pris', 'pitch', 'pitch', 'pris', 'pitch']","['z', 'y', 'z', 'x', 'y', 'z']","['0.1', '0.3', '0.3', '0.5', '0.7', '0.1']",0
1,0,0,0,188,1433,"['roll', 'pitch', 'pris', 'pitch', 'pitch', 'roll']","['z', 'y', 'x', 'x', 'z', 'y']","['0.1', '0.3', '0.1', '0.5', '0.7', '0.1']",0,188,1433,"['roll', 'pitch', 'pris', 'pitch', 'pitch', 'roll']","['z', 'y', 'x', 'x', 'z', 'y']","['0.1', '0.3', '0.1', '0.5', '0.7', '0.1']",0
1,1,0,0,185,3672,"['roll', 'pris', 'pitch', 'pitch', 'pris', 'pitch']","['z', 'y', 'z', 'x', 'y', 'z']","['0.1', '0.3', '0.1', '0.5', '0.5', '0.1']",0,233,3672,"['roll', 'pris', 'pitch', 'pitch', 'pris', 'pitch']","['z', 'y', 'z', 'x', 'y', 'z']","['0.1', '0.3', '0.3', '0.5', '0.7', '0.1']",0
